"ServerName","Control","Result","DriveLetter","VolumeName","DriveFileSystem","PartitionStyle","DiskLocation","DriveAllocationUnitSize","FreeSpaceinGB","AllocatedSpaceinGB","UserName","DateCheckedOn"
"pwgr2rsqldb1c-2.prod.pb01.local","Drive Details","","C:","","NTFS","MBR","SCSI0","4","65.58","99.51","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Drive Details","","D:","SQL Server","NTFS","GPT","SCSI0","64","48.52","49.87","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Drive Details","","K:","SQL Server Data","NTFS","GPT","SCSI0","64","98.98","99.87","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Drive Details","","L:","SQL Server Logs","NTFS","GPT","SCSI0","64","99","99.87","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Drive Details","","P:","SQL Server Tempdb","NTFS","GPT","SCSI0","64","94.77","99.87","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Drive Details","","S:","SQL Patching","NTFS","GPT","SCSI0","64","97.65","99.87","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Drive Details","","X:","Pagefile","NTFS","MBR","SCSI0","4","19.94","20","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","PageFile Configuration","","C:\pagefile.sys","","","","","","","1","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Windows Activation","1","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Available RAM in GB","8","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Available CPU","4","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"pwgr2rsqldb1c-2.prod.pb01.local","Power Plan","High performance","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQL Server Network Protocol - TCP/IP","1","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQL Server Network Protocol - Named Pipes","0","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQL Server Network Protocol - Shared Memory","1","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQL Server Network Protocol - TCP/IP Port Number","62754","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","TCP/IP Port Number - STATIC","1","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQL Version","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQL server Service Account","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQL server Agent Service Account","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Instant File Initialization Enabled","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","All Database data Files in K drive","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","All Database T-log Files in L drive","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","All Tempdb Files in P drive","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Max Memory Setting","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","OLE Automation Procedures - (Expected Result : Enabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","DAC(Remote Admin Connections) - (Expected Result : Disabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Ad Hoc Distributed Queries - (Expected Result : Disabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","CLR - (Expected Result : Disabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Cross DB Ownership Chaining - (Expected Result : Disabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Remote Access - (Expected Result : Disabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Database Mail XPs - (Expected Result : Enabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Scan for startup Procs - (Expected Result : Disabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","xp_cmdshell - (Expected Result : Disabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Hide Instance - (Expected Result : Enabled)","1","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Number of Error Logs - (Expected Result : 12)","12","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SA login renamed to WP_sa","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SA login disabled","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","DBA_Admin Database Exists","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","MaxDop Settings(8 or less cores, MaxDOP = half the number of cores. More than 8 cores, MaxDOP = 8)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Cost Threshold For Parallelism - (Expected Result : 50)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","TempDB Files - (8 cores or less, no. of tempdb files = no. of cores. More than 8 cores, no. of tempdb files = 8)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQL Agent Operator - (Expected Result: Enabled)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","SQLServer Maintenance Jobs Deployed (Script checks for keywords 'Index' & 'Integrity' in job-step commands)","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Database Backups Scheduled","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Audit Action Groups Created","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Guest User Status (Expected Result: Disabled)","Disabled","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","TRUSTWORTHY Option (Expected Result: Disabled)","Disabled","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Windows built-in account/group Exist;","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","CHECK_EXPIRATION Option set for SQL Logins with sysadmin role (Expected Result : Yes)","Yes","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","CHECK POLICY Option set for SQL Logins (Expected Result : Yes)","Yes","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Server Configured in Monitoring Tool","","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Server Added to appropriate patching Group","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","Receive Side Scaling (Expected Result : Enabled)","Disabled","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: Enhanced vMotion Compatibility (EVC Mode) - (Expected Result : Disabled)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: BIOS/UEFI Settings - Turbo Boost (Expected Result : Enabled)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: BIOS/UEFI Settings - Hyper Threading (Expected Result : Enabled)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: BIOS/UEFI Settings - NUMA (Expected Result : Enabled)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: BIOS/UEFI Settings - CPU Advanced Features (VT-x,EPT,RVI) (Expected Result : Enabled)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: BIOS/UEFI Settings - Select appropriate Snoop Mode (not a configurable setting on Dell PowerEdge servers)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: BIOS/UEFI Settings - Select Power Management to ""OS Controlled""","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: BIOS/UEFI Settings - Processor C-states (including the C1E Halt State) (Expected Result : Disabled)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: BIOS/UEFI Settings - QPI Power Management (Expected Result : Disabled)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: vCPU Configuration - CPU Hot Plug (Expected Result : Disabled)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: vCPU Configuration - CPU Affinity - Do NOT Use","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: Memory Configuration - Reserve 100% Memory provisioned to VM","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: Memory Configuration - If Memory Provisioned to VM >= 50% of ESXi Host Memory (aka Unbalanced vNUMA) Add VM Advanced setting (numa.vcpu.maxPerMachineNode = (Number of vCPU assigned to VM) / 2)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
"","VM Standards: Memory Configuration - If Memory Provisioned to VM >= 50% of ESXi Host Memory (aka Unbalanced vNUMA) Configure CoresPerSocket (coresPerSocket = numa.vcpu.maxPerMachineNode)","Manual Check","","","","","","","","","PRODROOT\A317229","2020-01-24 13:35:32"
